X.1,X.2
Bilinmiyor, 1
4. Levent, 1
Darüşşafaka, 1
İTÜ, 1
Küçükpazar, 1
Mecidiyeköy/Şişli, 4
Pazartekke, 1
Siteler, 1
Taksim, 6
Terazidere, 1
Vezneciler, 1
Yenikapı, 2
Yenimahalle, 1
