AB,SAYI
2006,1647
2007,2425
2008,2220
2009,2563
2010,2538
2011,2687
2012,2734
2013,2552
2014,2608
2015,2511
2016,2608
2017,2532
2018,2379
2019,2313
2020,2204
2021,2234
2022,2401
2023,2370
