ÜLKE,SAYI
AUT, 89.2
BEL, 93.8
BGR, 21.8
CHE, 128.9
CZE, 199.5
DEU, 765.7
DNK, 23.9
EST, 3.3
GRC, 3.1
ESP, 123
FIN, 51.5
FRA, 296.6
HRV, 21.9
HUN, 101.2
IRL, 5.1
ITA, 135
LTU, 4
LUX,3.1
LVA, 7.6
NLD, 200.2
NOR, 10.9
POL, 86.5
PRT, 42.5
ROU, 45
SWE, 73.5
SVN, 16.8
SVK, 56.1
