Yıl,Vaka
Temmuz 2021, 1
Ekim 2021, 1
Ocak 2022, 1
Haziran 2022, 1
Ekim 2022, 1
Mart 2023, 1
Mayıs 2023, 2
Haziran 2023, 1
Temmuz 2023, 1
Aralık 2023, 2
Ocak 2024, 1
Şubat 2024, 1
Mart 2024, 1
Nisan 2024, 1
Mayıs 2024, 2
Ağustos 2024, 1
Ekim 2024, 1
Kasım 2024, 3
Aralık 2024, 2
Mart 2025, 1
Haziran 2025, 1
Ağustos 2025, 2
