Yıl,Vaka
Eylül 2016, 1
Ekim 2019, 1
Eylül 2020, 1
Kasım 2020, 1
Mayıs 2021, 1
Eylül 2021, 1
Kasım 2021, 1
Mart 2022, 2
Haziran 2022, 1
Kasım 2023, 1
Ocak 2024, 1
Şubat 2024, 1
Mart 2024, 2
Nisan 2024, 1
Mayıs 2024, 1
Kasım 2024, 1
Mayıs 2025, 1
Haziran 2025, 1
Temmuz 2025, 2
